commit	metric	status	description
5a3aab2	111.8 tok/s, 27.1% accept	keep	baseline M1 (tg128, bench corpus, C=1, max-ctx 16384) on healthy GPU1; generic-corpus point - published C=1 (143.8 tok/s, 48.9% accept) is the sustained AIME stream
59f9e54	105.2 tok/s, 28.8% accept	discard	MTP head A/B (hypothesis #1): full-head drafting regresses M1 tg128 5.6% (105.16 vs 111.42 tok/s) despite higher accept (28.78 vs 27.14%); wins tg512 (128.13 vs 125.04 tok/s, 42.64 vs 34.35% accept, 675 vs 756 rounds) - full-head 248K-row FP8 GEMV costs ~1.5 ms/round and only amortizes on settled streams; kept --lm-head-draft
4f3bc6d9	116.5 tok/s, 37.9% accept	discard	MTP draft-window A/B k=2 vs k=3: M1 tg128 k=2 wins +4.2% (116.52 vs 111.79 tok/s, tok/round 1.753 vs 1.803, round -6.7%); but a losslessness violation was found - greedy (temp0, same seed) streams DIVERGE across k=0/1/2/3 (AIME fixture, first char diff ~530/1222 vs k=0), violating model-doc 8; eager==graph so bug is in the shared MTP round transaction, not CUDA Graph; accept kernel + fold count + KV publish accounting verified exact by inspection; kept canonical --draft-tokens 3
5cbba58c	114.35 tok/s, 30.2% accept (k=3); 116.33 tok/s, 39.7% (k=2)	keep	MTP losslessness root cause + fix: greedy temp-0 streams diverged across --draft-tokens k because the T=2..4 verify widths ran different arithmetic than the T=1 decode route. Fixed 3 defects: (1) GDN conv history advanced with raw FP32 instead of the BF16-represented column (gdn_conv epilogue - T=1 publish unchanged); (2) T=4 verify jumped to W4A4 activation-quantized routes for attn_input+GDN fused while T=1..3 use A16 small-t/GEMV - W4A4 boundaries moved T>=4 to T>=5; (3) T>=2 NVFP4 small-t GEMM used 1 FMA chain vs the T=1 GEMV's 4 interleaved chains - T<=4 small-t now matches the 4-chain association (T>=5 prefill unchanged). New op-level test test_gdn_decode_record_parity is bit-exact for W=2..4 (GDN finite-precision clone restored). E2E AIME greedy: k=2==k=3 now; k=0/k=1 still differ - residual per-column T-dependence in attention small-t kernels (TokenTile warp shape, per-instantiation association) = next root cause. M1 k=3 114.35 (+2.3% vs 111.79 baseline; accept 27.1->30.2%, verify argmax no longer perturbed); k=2 116.33 (+4.1%). Quality: 3/8 gate prompts k=0==k=3 exact (5 still diverge within 256 tok); k=0 ref stream moved to AIME 434280f5 (prefill T<=4 chunks use new association) - interactive quality-gate baselines need refresh
e84ddaef	130.13 tok/s, 38.4% accept (k=3); k=0 AIME 434280f5 bit-unchanged	keep	MTP losslessness #4 (attention): GQA small-T committed column now bit-clones the T=1 decode route. The split partition was keyed off the full verify window with token-dependent counts/units and INT8 T=6 jumped to a 64-key tile (2K..8K), making the committed column's partials/combine width-dependent. Fix: committed-column partition (gqa_small_t_split_range) derived from the committed window only (exact T=1 partition); draft keys folded into the split owning committed_window-1 (causally masked no-op for column 0: -inf scores, p=0, alpha=1, 0*V=0 exact); T=6 keeps the 32-key tile at every window (warp counts partition rows/head-dim, numerics no-op); launch capacity from the width-independent T=1 policy (pointwise upper bound). New bit-parity op test (T=1..6, I8+BF16, committed windows 18..16384 incl. tile/tier boundaries and M1 ceiling, production envelopes): 0 bit diffs. ctest 89/90 on GPU 1 (failure = pre-existing missing-checkpoint frontend test). E2E AIME greedy: k=0 bit-unchanged (canonical 434280f5); k=1 diverges only by a single near-tie token flip at idx 119 (280 vs 343), reconverges - residual is the verify-round draft-column argmax (accepted drafts/bonus are emitted as-is per the accept contract), not the committed column (bit-verified in attention/GDN/linear). M1 k=3 130.13 +/- 0.14 tok/s / 38.4% accept = +13.8% / +8.2pp vs 114.35/30.2% (verify target argmax and next-round draft hidden no longer perturbed by width-dependent arithmetic). Quality: pre-state per handover (k0 vs k3 3/8 exact on the 8-prompt gate); post k0-vs-k3 gate: 4/8 exact within 256 tok (code-neighbor-sum/translate-fr/math-modexp/haiku differ; outputs same-length, clearly correct) - residual is the draft-column near-tie flip class (single-token, reconvergent), not the committed column; BLOCKERS row added for user ratification of the residual
0ab130b8	118.16 tok/s, 32.3% accept	keep	Ratify f58db502 E2E + re-baseline (BLOCKERS follow-up): AIME idx-119 flip (280 vs 343) GONE - k0/k1 agree to ~token 233; residual is the draft-column near-tie class only - gate k0-vs-k3 5/8 (same single-token class as pre-fix 4/8, not below; code-neighbor-sum now exact, summarize+code-c-bug newly differ, all outputs clearly correct) - root cause confirmed in code: GQA small-T draft-column split partition derives from committed_window only, not the per-column T=1 partition (committed columns of all 3 families + GDN fold + KV write verified clean) - k=0 AIME-512 canonical moved 434280f5 -> 0cc41a24fbcd0df8 (prefill T<=4 chunks now use the new FP8 T=2..4 schedule, benign, eager==graph) - M1 k=3 118.16 +/- 0.16 = -9.2% vs pre-fix 130.13/38.4% (T=2..4 verify now runs the T=1 GEMV bit-clone every round; interactive session cross-confirmed 118.09 +/- 0.14 at 13:57) - k=2 117.35 +/- 0.27 / 42.3% accept: pre-fix +4.2% k=2 advantage gone (tie), k=3 kept canonical
a36570d3	113.2 tok/s, 30.2% accept (3 samples 113.03/113.28/113.43)	keep	Ratify a36570d3 E2E (interactive session's GQA draft-column fix, landed mid-iteration 14:30; driver made no engine code change): per-column T=1 partition for every small-T verify column (gqa_small_t_column_split_range; CTA stages the union of columns' split ranges, rows masked per column, reducer per-column active count; grid unchanged). Op-level on HEAD: per-column parity (committed+draft, T=2..6, I8+BF16, 10 windows across tile/tier boundaries) bit-exact; fp8-linear T=1..4 + GDN record parity PASS; build==HEAD. k=0 canonical HELD: AIME-512 k=0 = 0cc41a24fbcd0df8 exact on the HEAD binary (k=0 path bit-unchanged). E2E losslessness NOT achieved: AIME-1024 k0=d49a2892/k1=b1e755d7/k3=1ac93157 - k=1 (T=2 verify) flip persists at char 530 (free-choice variable-name spot); k=3 flip moved 629->761 (earlier k=3 flip fixed by the draft-column fix). Gate k0-vs-k3 6/8 differ (pre-draftcol 5/8; math-balls regressed, code-neighbor-sum+logic-bulbs exact; same single-token near-tie class, outputs clearly correct; k3 row cross-confirmed 8/8 vs interactive session's post-draftcol gate). M1 k=3 -4.2% vs 118.16 baseline: per-round compute +7.5% (union-split staging across per-column partitions inflates short-window CTA work - commit's 'schedule unchanged' holds for grid, not per-CTA work) + accept 32.3->30.15% (201 vs 195 rounds; draft columns now true clones so accept = model's true draft quality; pre-fix included ~2pp epsilon-inflated accepts). keep: per-column clone is the model-doc 8 contract; delta is a correctness cost, same class as the ratified f58db502 -9.2%. Residual suspects (op-untested at draft columns): lm_head (Fp8Problem::Vocabulary A16 route) + GDN outputs; attribute with a per-column target-logit dump (temporary tap). M1 recovery lever: faster bit-exact T=2..4 schedule (backlog #2)
82ef8337	M1 113.01 +/- 0.05 tok/s, 30.15% accept (re-baselined on committed-source binary; matches ratified 113.2)	keep (no engine change - attribution iteration)	MTP losslessness attribution (handover next step: attribute the residual k=1 flip). Method: live interactive session's uncommitted NINFER_TAP_LOGITS layer/logit tap (15:17 build; tap is env-gated, numerically inert - verified eager==graph bit-identical) + /tmp snapshot build of a36570d3^ (28c3180a) with the same tap. FINDINGS: (1) k=1 flip is at token idx 119 (280 vs 343, a digit in a repeated 7-token compute block), deterministic per build, eager==graph; the ratified 'char 530 / ~token 233' is the same flip in text space (CLI k0 content == ratified serve k0 content exactly). (2) a36570d3 (GQA draft-column) is E2E-NEUTRAL: pre-draftcol snapshot k0/k1 streams bit-identical to current tree. (3) LOCALIZATION: at the flip round (pos 346) the layer-0 input hidden is bit-identical T=1 vs T=2 but the GDN layer-0 RECURRENT state differs; first state divergence at pos 230 = the FIRST verify round [228,229]; recurrent (rx) dirty, conv (cx) clean there (later cx divergence is downstream of rx). (4) ROOT CAUSE: the GDN recurrent state-transition kernel (apply_gdn_transition, src/ops/linear_attention/gated_delta_net/recurrent.cuh) is SHARED by decode/snapshot/record, so the divergence must enter through the per-column inputs; gdn_gating_proj (BF16, produces g/beta) routes T=1 -> GemvPairedRows but T=2..8 -> SmallTSplit10 (bf16_gdn_gating_proj_plan.cpp k27Routes) - a different kernel/association, NOT a committed-column bit-clone - so g/beta differ at last ulp at the committed column -> alpha=expf(g) and delta=beta*(...) differ -> recurrent state diverges from round one. Same defect class as the FP8/NVFP4 linear family (5cbba58c/f58db502) and GQA attention (a36570d3): gdn_gating_proj is the remaining family with the T=2..8-vs-T=1 committed-column non-clone. (5) The 0ab130b8 ratification claim 'idx-119 flip gone, k0/k1 agree to ~token 233' is INVALIDATED: the committed f58db502-era source (snapshot 28c3180a, engine-identical) reproduces the 119 flip - that E2E was measured on a drifted build. (6) Secondary untested suspect: lm_head (Fp8Problem::Vocabulary) T>=2 still runs the A16 MMA route, not the T=1 GEMV clone (draft-column only). NEXT: op-level g/beta parity check (T=1 vs T=2..4, production shape) to confirm, then make gdn_gating_proj T=2..8 committed columns a T=1 bit-clone + parity test; E2E verify (AIME k0/k1/k3, gate, M1).
-	M1 115.02 +/- 0.15 tok/s, 30.65% accept (+1.8% vs 113.01); op T=2..8 per-column bit-parity GREEN (route pinned GemvPairedRows, zero workspace); T=1 gating provably bit-invariant across builds (ref hash 5a60bebb10800c96)	discard (k0 canonical anomaly)	gdn_gating committed-column fix part 2: T=2..8 -> vpl=8 GemvPairedRows 4-chain bit-clone of the T=1 route (was Split10 small-T; the A8-clone template for the BF16 family), T=1 GEMV kernel extended with a runtime token param (T=1 numerics bit-identical - op-level hash-verified). Op test tests/ops/test_gdn_gating_proj_t_parity.cpp: RED on base (T=2 col0 head0 0xbea38a32 vs ref 0xbea38a33) -> GREEN (T=2..8 all 48 columns x g,beta bit-identical, A8-parent columns identical across all T). E2E (AIME greedy int8 ctx16384): k=1 flip MOVED 119->151 (still class (a); next suspect T-dependence in argmax/lm_head since committed col now bit-exact); k=0 (canonical, no --spec) REGRESSED: persistent stream flip at token 137 (base emits 13/newline, fixed emits 318 "Let..."), present in eager AND graph, deterministic per binary, codegen determinism verified (rebuilt base bit-reproduces base_k0). T=1 gating op-level bit-invariant across builds => flip not from the gemv kernel's T=1 numerics; prime suspect arena/workspace layout (T=2..8 capacity 30720B->0B changes workspace composition) exposing an address-sensitive read. Discarded: a losslessness-series fix must hold k0 canonical; re-land from /tmp/wt (worktree f2dbd156, uncommitted: src fix + test + TEMP T1REF hash block) after the k0@137 cause is established. M1 +1.8% (201 rounds both; accept 30.65 vs 30.15) preserved for the re-land decision.
-	k0 AIME flip @idx136 (base=13, fix=318) localized: post-prefill GDN recurrent state (layer 0 slot 0) differs base-vs-fix at ALL prefill lengths 56-228 tok; conv state + embeddings bit-identical; workspace composition byte-identical; T=1 GEMV bit-invariant	discard	k0@137 diagnosis (previous handover's top step; the gdn-gating T=2..8 bit-clone from /tmp/wt stays DISCARDED). Took over the abandoned layer/logit tap WIP (interactive session 267414's, owner gone): stashed verbatim as stash@{0}, restored + fixed its DType::F32 typo (-> DType::FP32), built base+tap (main tree) and fix+tap (/tmp/wt). Tap inertness verified: base+tap k0 == canonical base_k0 (first 160 tok bit-identical). AIME k0 tap A/B (256 tok, eager, NINFER_TAP_LOGITS + NINFER_TAP_LAYERS): FIRST divergence = the state tap at the first decode position - GDN recurrent state rx (layer 0, slot 0) already differs BEFORE the first T=1 decode round, i.e. after PREFILL; cx (conv), the embedding, and the L0 q/k/v/g/beta columns are bit-identical; then every layer residual + the logits cascade (logits ~3 BF16 ulp off, argmax same until idx136). Bisect over truncated AIME prefixes: post-prefill rx diverges at EVERY prefill length tested (56,59,64,76,99,162,228 tok; single chunks; T in [9,1024] Split8 route = unchanged code) - so the anomaly is NOT in the prefill forward compute (all prefill ops: identical machine code + identical inputs by induction) and NOT the T=1 GEMV (bit-invariant, parity hash 5a60bebb10800c96 on both builds). The previous handover's arena-layout hypothesis is FALSIFIED empirically: load summaries byte-identical (arena 172.57 MiB, reservation 1006.12 MiB, same allocations) and max_concurrency=1 registers no 2..8 workspace range. Remaining suspect class: GDN state pool materialization/zero-init or partial-write coverage (rx region vs fully-written cx region), i.e. a load-time path whose residual device-memory contents differ between builds even though final allocation sizes match. Next: raw rx value dump (pattern/magnitude of the diff) + state-pool init/zeroing code read (src/core arena + state transaction).
